Metodo;Fold;ACC
ResNet50_ReliefF_300_RBF;9;0,8824
ResNet50_ReliefF_300_LinearSVM;9;0,8529
ResNet50_ReliefF_300_MLP;9;0,8235
ResNet50_ReliefF_300_Logistic;9;0,8824
ResNet50_ReliefF_300_RandomForest;9;0,9412
ResNet50_ReliefF_300_Adaboost;9;0,8824
ResNet50_ReliefF_300_Gaussian;9;0,8824
ResNet50_ReliefF_300_J48;10;0,8235
ResNet50_ReliefF_300_RBF;10;0,8824
ResNet50_ReliefF_300_LinearSVM;10;0,8529
ResNet50_ReliefF_300_MLP;10;0,8824
ResNet50_ReliefF_300_Logistic;10;0,8529
ResNet50_ReliefF_300_RandomForest;10;0,8824
ResNet50_ReliefF_300_Adaboost;10;0,9118
ResNet50_ReliefF_300_Gaussian;10;0,8529
ResNet101_ReliefF_300_J48;1;0,7714
ResNet101_ReliefF_300_RBF;1;0,8
ResNet101_ReliefF_300_LinearSVM;1;0,7714
ResNet101_ReliefF_300_MLP;1;0,7714
ResNet101_ReliefF_300_Logistic;1;0,8
ResNet101_ReliefF_300_RandomForest;1;0,8571
ResNet101_ReliefF_300_Adaboost;1;0,8571
ResNet101_ReliefF_300_Gaussian;1;0,6571
ResNet101_ReliefF_300_J48;2;0,8286
ResNet101_ReliefF_300_RBF;2;0,8
ResNet101_ReliefF_300_LinearSVM;2;0,7714
ResNet101_ReliefF_300_MLP;2;0,6286
ResNet101_ReliefF_300_Logistic;2;0,7714
ResNet101_ReliefF_300_RandomForest;2;0,8286
ResNet101_ReliefF_300_Adaboost;2;0,8
ResNet101_ReliefF_300_Gaussian;2;0,8286
ResNet101_ReliefF_300_J48;3;0,8529
ResNet101_ReliefF_300_RBF;3;0,8529
ResNet101_ReliefF_300_LinearSVM;3;0,9118
ResNet101_ReliefF_300_MLP;3;0,8824
ResNet101_ReliefF_300_Logistic;3;0,9118
ResNet101_ReliefF_300_RandomForest;3;0,8824
ResNet101_ReliefF_300_Adaboost;3;0,8235
ResNet101_ReliefF_300_Gaussian;3;0,8235
ResNet101_ReliefF_300_J48;4;0,7353
ResNet101_ReliefF_300_RBF;4;0,8529
ResNet101_ReliefF_300_LinearSVM;4;0,7941
ResNet101_ReliefF_300_MLP;4;0,7647
ResNet101_ReliefF_300_Logistic;4;0,7941
ResNet101_ReliefF_300_RandomForest;4;0,8824
ResNet101_ReliefF_300_Adaboost;4;0,7647
ResNet101_ReliefF_300_Gaussian;4;0,7353
ResNet101_ReliefF_300_J48;5;0,8529
ResNet101_ReliefF_300_RBF;5;0,8529
ResNet101_ReliefF_300_LinearSVM;5;0,9412
ResNet101_ReliefF_300_MLP;5;0,8529
ResNet101_ReliefF_300_Logistic;5;0,8824
ResNet101_ReliefF_300_RandomForest;5;0,8824
ResNet101_ReliefF_300_Adaboost;5;0,8824
ResNet101_ReliefF_300_Gaussian;5;0,8529
ResNet101_ReliefF_300_J48;6;0,7941
ResNet101_ReliefF_300_RBF;6;0,8824
