method,cnn,reduction,classifier,features,Components,acc,f1,roc
Xception_UMAP_J48,Xception,UMAP,J48,204800.0,F40,72.4790,73.2540,73.4313
Xception_UMAP_J48,Xception,UMAP,J48,204800.0,F50,76.8067,77.1242,76.7891
Xception_UMAP_J48,Xception,UMAP,J48,204800.0,F75,74.2857,74.6429,75.7236
Xception_UMAP_J48,Xception,UMAP,J48,204800.0,F100,73.5294,74.2857,73.4375
Xception_UMAP_J48,Xception,UMAP,J48,204800.0,F150,79.4118,76.2097,79.8574
Xception_UMAP_J48,Xception,UMAP,J48,204800.0,F200,76.8067,74.9019,77.9514
Xception_UMAP_J48,Xception,UMAP,J48,204800.0,F250,76.4706,75.0000,76.2562
Xception_UMAP_J48,Xception,UMAP,J48,204800.0,F300,76.4706,75.7353,76.5625
Xception_UMAP_J48,Xception,UMAP,J48,204800.0,F350,nan,nan,nan
Xception_UMAP_J48,Xception,UMAP,J48,204800.0,F400,nan,nan,nan
Xception_UMAP_J48,Xception,UMAP,J48,204800.0,F450,nan,nan,nan
Xception_UMAP_J48,Xception,UMAP,J48,204800.0,F500,nan,nan,nan
Xception_UMAP_J48,Xception,UMAP,J48,204800.0,F550,nan,nan,nan
Xception_UMAP_J48,Xception,UMAP,J48,204800.0,F600,nan,nan,nan
Xception_UMAP_J48,Xception,UMAP,J48,204800.0,F700,nan,nan,nan
Xception_UMAP_J48,Xception,UMAP,J48,204800.0,F800,nan,nan,nan
Xception_UMAP_J48,Xception,UMAP,J48,204800.0,F900,nan,nan,nan
Xception_UMAP_J48,Xception,UMAP,J48,204800.0,F1000,nan,nan,nan
Xception_UMAP_RBF,Xception,UMAP,RBF,204800.0,F2,66.1765,61.8038,66.9079
Xception_UMAP_RBF,Xception,UMAP,RBF,204800.0,F10,70.5882,66.6667,71.9042
Xception_UMAP_RBF,Xception,UMAP,RBF,204800.0,F20,73.5294,70.9677,73.9175
Xception_UMAP_RBF,Xception,UMAP,RBF,204800.0,F30,69.1176,62.9630,70.3125
Xception_UMAP_RBF,Xception,UMAP,RBF,204800.0,F40,70.5882,66.6667,71.0580
Xception_UMAP_RBF,Xception,UMAP,RBF,204800.0,F50,67.6471,62.9121,70.0031
Xception_UMAP_RBF,Xception,UMAP,RBF,204800.0,F75,66.1765,58.6207,67.5347
Xception_UMAP_RBF,Xception,UMAP,RBF,204800.0,F100,67.6471,65.5914,68.2972
Xception_UMAP_RBF,Xception,UMAP,RBF,204800.0,F150,62.3529,59.2593,63.6403
Xception_UMAP_RBF,Xception,UMAP,RBF,204800.0,F200,66.1765,64.8529,67.3556
Xception_UMAP_RBF,Xception,UMAP,RBF,204800.0,F250,62.3109,56.1577,63.3824
Xception_UMAP_RBF,Xception,UMAP,RBF,204800.0,F300,64.7059,63.6029,65.1600
Xception_UMAP_RBF,Xception,UMAP,RBF,204800.0,F350,nan,nan,nan
Xception_UMAP_RBF,Xception,UMAP,RBF,204800.0,F400,nan,nan,nan
Xception_UMAP_RBF,Xception,UMAP,RBF,204800.0,F450,nan,nan,nan
Xception_UMAP_RBF,Xception,UMAP,RBF,204800.0,F500,nan,nan,nan
Xception_UMAP_RBF,Xception,UMAP,RBF,204800.0,F550,nan,nan,nan
Xception_UMAP_RBF,Xception,UMAP,RBF,204800.0,F600,nan,nan,nan
Xception_UMAP_RBF,Xception,UMAP,RBF,204800.0,F700,nan,nan,nan
Xception_UMAP_RBF,Xception,UMAP,RBF,204800.0,F800,nan,nan,nan
Xception_UMAP_RBF,Xception,UMAP,RBF,204800.0,F900,nan,nan,nan
Xception_UMAP_RBF,Xception,UMAP,RBF,204800.0,F1000,nan,nan,nan
Xception_UMAP_LinearSVM,Xception,UMAP,LinearSVM,204800.0,F2,61.7647,60.0328,62.3264
Xception_UMAP_LinearSVM,Xception,UMAP,LinearSVM,204800.0,F10,70.5882,66.6667,71.9042
Xception_UMAP_LinearSVM,Xception,UMAP,LinearSVM,204800.0,F20,73.5294,69.9666,73.5294
Xception_UMAP_LinearSVM,Xception,UMAP,LinearSVM,204800.0,F30,70.5882,65.5914,71.7014
Xception_UMAP_LinearSVM,Xception,UMAP,LinearSVM,204800.0,F40,73.5294,69.9666,73.9175
Xception_UMAP_LinearSVM,Xception,UMAP,LinearSVM,204800.0,F50,67.6471,63.2925,69.1996
Xception_UMAP_LinearSVM,Xception,UMAP,LinearSVM,204800.0,F75,69.1176,65.4095,70.5153
Xception_UMAP_LinearSVM,Xception,UMAP,LinearSVM,204800.0,F100,67.6471,64.3679,68.8487
Xception_UMAP_LinearSVM,Xception,UMAP,LinearSVM,204800.0,F150,70.5882,67.8161,71.5533
Xception_UMAP_LinearSVM,Xception,UMAP,LinearSVM,204800.0,F200,70.5882,64.4009,71.0580
Xception_UMAP_LinearSVM,Xception,UMAP,LinearSVM,204800.0,F250,69.1176,60.7692,69.8427
Xception_UMAP_LinearSVM,Xception,UMAP,LinearSVM,204800.0,F300,69.5798,65.5914,70.5884
Xception_UMAP_LinearSVM,Xception,UMAP,LinearSVM,204800.0,F350,nan,nan,nan
Xception_UMAP_LinearSVM,Xception,UMAP,LinearSVM,204800.0,F400,nan,nan,nan
Xception_UMAP_LinearSVM,Xception,UMAP,LinearSVM,204800.0,F450,nan,nan,nan
Xception_UMAP_LinearSVM,Xception,UMAP,LinearSVM,204800.0,F500,nan,nan,nan
Xception_UMAP_LinearSVM,Xception,UMAP,LinearSVM,204800.0,F550,nan,nan,nan
Xception_UMAP_LinearSVM,Xception,UMAP,LinearSVM,204800.0,F600,nan,nan,nan
Xception_UMAP_LinearSVM,Xception,UMAP,LinearSVM,204800.0,F700,nan,nan,nan
Xception_UMAP_LinearSVM,Xception,UMAP,LinearSVM,204800.0,F800,nan,nan,nan
Xception_UMAP_LinearSVM,Xception,UMAP,LinearSVM,204800.0,F900,nan,nan,nan
Xception_UMAP_LinearSVM,Xception,UMAP,LinearSVM,204800.0,F1000,nan,nan,nan
Xception_UMAP_MLP,Xception,UMAP,MLP,204800.0,F2,70.5882,67.7083,70.7107
