FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_F1Score,KFold02_F1Score,KFold03_F1Score,KFold04_F1Score,KFold05_F1Score,KFold06_F1Score,KFold07_F1Score,KFold08_F1Score,KFold09_F1Score,KFold10_F1Score,F1Score_Mean,F1Score_SD
EfficientNetB0+MobileNet_n_feat,ReliefF,No,250,RandomForest,0.8667,0.8889,0.9091,0.8500,0.8571,0.8485,0.8649,0.8947,0.9524,0.9444,0.8877,0.0357
EfficientNetB0+MobileNet_n_feat,ReliefF,No,250,Adaboost,0.7586,0.8000,0.8235,0.8780,0.7778,0.8125,0.8205,0.9444,0.9091,0.8571,0.8382,0.0556
EfficientNetB0+MobileNet_n_feat,ReliefF,No,250,Gaussian,0.6667,0.8800,0.9375,0.8500,0.7742,0.7742,0.9091,0.9444,0.9000,0.9143,0.8550,0.0851
MobileNet+ResNet50_n_feat,ReliefF,No,250,PCC,0.6429,0.6923,0.6250,0.7222,0.7500,0.8333,0.7742,0.9000,0.8095,0.7778,0.7527,0.0809
MobileNet+ResNet50_n_feat,ReliefF,No,250,J48,0.7273,0.6667,0.8293,0.9268,0.6061,0.7059,0.7742,0.8649,0.8444,0.8205,0.7766,0.0940
MobileNet+ResNet50_n_feat,ReliefF,No,250,RBF,0.8125,0.9231,0.8824,0.9048,0.8571,0.9091,0.8824,1.0000,0.9524,0.9744,0.9098,0.0530
MobileNet+ResNet50_n_feat,ReliefF,No,250,LinearSVM,0.8387,0.8889,0.9143,0.8837,0.8108,0.9444,0.8824,0.9714,0.9048,0.9444,0.8984,0.0465
MobileNet+ResNet50_n_feat,ReliefF,No,250,MLP,0.8571,0.8276,0.8889,0.8837,0.7647,0.8571,0.8333,0.9714,0.9767,0.8947,0.8755,0.0609
MobileNet+ResNet50_n_feat,ReliefF,No,250,Logistic,0.8387,0.8889,0.9143,0.8837,0.8108,0.9714,0.8824,0.9714,0.9048,0.9444,0.9011,0.0498
MobileNet+ResNet50_n_feat,ReliefF,No,250,RandomForest,0.8966,0.8889,0.9091,0.9302,0.8571,0.9143,0.8824,0.9444,0.9524,0.9744,0.9150,0.0339
MobileNet+ResNet50_n_feat,ReliefF,No,250,Adaboost,0.8571,0.8571,0.9032,0.8372,0.8000,0.8824,0.8889,0.9444,0.9524,0.9189,0.8842,0.0454
MobileNet+ResNet50_n_feat,ReliefF,No,250,Gaussian,0.8571,0.8333,0.9375,0.8718,0.7742,0.8125,0.8000,0.8750,0.9524,0.8889,0.8603,0.0545
