FeatureExtraction;DimReduction;Normalization;NumberComponents;Classifier;KFold01_Accuracy;KFold02_Accuracy;KFold03_Accuracy;KFold04_Accuracy;KFold05_Accuracy;KFold06_Accuracy;KFold07_Accuracy;KFold08_Accuracy;KFold09_Accuracy;KFold10_Accuracy;Accuracy_Mean;Accuracy_SD
VGG16+VGG19;UMAP;No;300;Adaboost;0,6857;0,7714;0,7941;0,7647;0,7941;0,7059;0,6176;0,6765;0,6765;0,6471;0,7134;0,0601
VGG16+VGG19;UMAP;No;300;Gaussian;0,7714;0,8;0,7647;0,8235;0,7353;0,6765;0,6176;0,6765;0,6765;0,6765;0,7218;0,0633
Xception+ResNet50;PCA;No;250;J48;0,6;0,8286;0,7353;0,5882;0,8235;0,8529;0,7941;0,6765;0,7647;0,6765;0,734;0,0903
Xception+ResNet50;PCA;No;250;RBF;0,8857;0,9429;0,9118;0,8235;0,9118;0,9412;0,8824;0,8824;0,9118;0,9118;0,9005;0,0328
Xception+ResNet50;PCA;No;250;LinearSVM;0,9429;0,8571;0,9118;0,8824;0,9412;0,8824;0,9118;0,9412;0,8824;0,9412;0,9094;0,0301
Xception+ResNet50;PCA;No;250;MLP;0,6571;0,6857;0,7353;0,7353;0,7353;0,7941;0,5588;0,4706;0,7353;0,6765;0,6784;0,0918
Xception+ResNet50;PCA;No;250;Logistic;0,9429;0,8857;0,9118;0,8529;0,9412;0,8824;0,9118;0,9706;0,9118;0,9412;0,9152;0,0332
Xception+ResNet50;PCA;No;250;RandomForest;0,8286;0,8286;0,7647;0,7647;0,8529;0,7353;0,8235;0,7941;0,7647;0,7941;0,7951;0,0357
Xception+ResNet50;PCA;No;250;Adaboost;0,8571;0,7714;0,9118;0,7941;0,9118;0,8824;0,8235;0,8529;0,8824;0,9118;0,8599;0,0476
Xception+ResNet50;PCA;No;250;Gaussian;0,7714;0,7714;0,6765;0,6471;0,6471;0,7353;0,6471;0,7941;0,7647;0,5882;0,7043;0,0676
Xception+ResNet50;UMAP;No;250;J48;0,8286;0,7714;0,7353;0,7353;0,7353;0,8235;0,7353;0,6765;0,7353;0,7647;0,7541;0,0431
Xception+ResNet50;UMAP;No;250;RBF;0,6286;0,6857;0,7059;0,7353;0,6765;0,7059;0,6471;0,7059;0,7353;0,7941;0,702;0,0448
Xception+ResNet50;UMAP;No;250;LinearSVM;0,6571;0,7143;0,7353;0,7941;0,6765;0,8235;0,7353;0,7353;0,8235;0,8235;0,7518;0,0584
Xception+ResNet50;UMAP;No;250;MLP;0,6286;0,6571;0,6765;0,5882;0,4118;0,7059;0,5;0,4706;0,6471;0,4412;0,5727;0,1017
Xception+ResNet50;UMAP;No;250;Logistic;0,7429;0,8286;0,7353;0,7941;0,7353;0,8529;0,7059;0,7941;0,6765;0,8824;0,7748;0,0631
Xception+ResNet50;UMAP;No;250;RandomForest;0,8;0,7714;0,9118;0,7941;0,8529;0,8235;0,7941;0,7941;0,8235;0,9118;0,8277;0,047
Xception+ResNet50;UMAP;No;250;Adaboost;0,7714;0,7714;0,8824;0,7647;0,8235;0,8529;0,6765;0,7353;0,6765;0,7647;0,7719;0,0641
Xception+ResNet50;UMAP;No;250;Gaussian;0,7429;0,8571;0,7353;0,7941;0,8235;0,8235;0,7059;0,7647;0,7647;0,8824;0,7894;0,0537
VGG16+VGG19;PCA;No;250;J48;0,5714;0,6571;0,6471;0,6471;0,8235;0,7059;0,6471;0,7059;0,8235;0,6765;0,6905;0,0755
VGG16+VGG19;PCA;No;250;RBF;0,7429;0,8286;0,9118;0,7941;0,7647;0,8235;0,8824;0,8529;0,9118;0,9412;0,8454;0,0631
VGG16+VGG19;PCA;No;250;LinearSVM;0,8857;0,8;0,8529;0,7941;0,8529;0,8235;0,7353;0,9706;0,9118;0,8824;0,8509;0,0634
VGG16+VGG19;PCA;No;250;MLP;0,7143;0,5429;0,8235;0,6765;0,5294;0,7059;0,7059;0,7941;0,6471;0,6765;0,6816;0,0887
VGG16+VGG19;PCA;No;250;Logistic;0,8571;0,8;0,8824;0,8235;0,8824;0,8235;0,7059;0,9706;0,9118;0,8824;0,8539;0,0679
VGG16+VGG19;PCA;No;250;RandomForest;0,6;0,6857;0,7941;0,7941;0,6471;0,8235;0,7647;0,8235;0,7059;0,7941;0,7433;0,0746
VGG16+VGG19;PCA;No;250;Adaboost;0,7143;0,6286;0,8824;0,7647;0,5882;0,6765;0,7647;0,7941;0,8235;0,7353;0,7372;0,0845
VGG16+VGG19;PCA;No;250;Gaussian;0,5143;0,6571;0,7647;0,6471;0,5588;0,7647;0,7353;0,7059;0,7941;0,5882;0,673;0,091
VGG16+VGG19;UMAP;No;250;J48;0,7143;0,7714;0,6176;0,6765;0,7941;0,5;0,6176;0,5294;0,6471;0,6176;0,6486;0,0897
VGG16+VGG19;UMAP;No;250;RBF;0,4286;0,3429;0,5;0,5882;0,5;0,5294;0,5;0,5294;0,3529;0,5588;0,483;0,0784
VGG16+VGG19;UMAP;No;250;LinearSVM;0,6;0,5429;0,6765;0,7059;0,7353;0,6765;0,6765;0,7059;0,6471;0,7353;0,6702;0,0573
VGG16+VGG19;UMAP;No;250;MLP;0,4;0,6571;0,5;0,5588;0,5;0,5294;0,5;0,4706;0,3529;0,5882;0,5057;0,083
VGG16+VGG19;UMAP;No;250;Logistic;0,6857;0,7714;0,7353;0,7647;0,7647;0,6471;0,6176;0,7059;0,7353;0,7353;0,7163;0,0494
VGG16+VGG19;UMAP;No;250;RandomForest;0,7714;0,8;0,7941;0,7941;0,7647;0,6471;0,5882;0,7353;0,7059;0,7353;0,7336;0,066
